"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "Cent"
20.14 6.7 4 55.12 5.2 158.11 203.46 2.06 "D"
30.94 2.3 9 62.79 1.4 491.19 859.65 5.53 "C"
26.66 7.8 13 86.7 2.3 893.09 1287.47 2.22 "D"
44.79 2.2 12 60.31 3.6 707.93 1585.83 5.47 "C"
12.54 11.7 4 38 12 1421.31 1641.72 1.24 "D"
35.15 10.7 5 37.43 9.2 816.73 1818.93 0.52 "B"
56.82 4.3 5 44.16 4.6 967.81 1613.83 1.77 "C"
16.82 2.8 4 33.35 3.4 906.37 1407.33 1.17 "C"
1.05 1.2 4 48.29 2.5 88.41 469.83 1.11 "B"
31.46 7.2 8 54.99 5.5 1116.04 1747.04 1.77 "A"
1.07 2.8 9 74.5 1.9 249.88 292.61 2.84 "A"
25.42 2.8 12 88.55 1.8 469.56 700.62 1.14 "D"
13.66 0.1 8 66.66 9.1 829.36 721.92 4.63 "A"
34.21 6.8 10 63.15 0.9 460.57 918.74 0.89 "D"
38.81 2.4 10 68.14 4.5 926.83 1144.45 6.07 "D"
27.46 9.9 4 39.79 8.5 598.32 1414.52 0.14 "C"
41.56 10.1 10 58.97 0.5 1382.65 2095.77 3.43 "D"
49.05 8.7 8 55.9 3.4 1123.4 1734.1 0.67 "D"
26.01 8.1 8 46.48 2.5 934.07 1583.03 3.67 "B"
24.62 8.4 9 69.19 1.2 56.34 478.47 3.3 "C"
65.91 0.7 5 37.62 2.7 740.94 1697.78 2.91 "C"
44.2 6.2 8 60.24 11.7 601.55 1349.13 7.54 "C"
17.18 10.4 4 41.73 4.2 265.1 693.34 0.64 "C"
6.94 10.1 8 63.43 7.1 173.29 178.54 1.67 "D"
31.76 3.3 7 57.18 11.4 1160.01 1380.95 4.25 "B"
13.66 5.4 4 57.52 6.1 36.82 153.66 1.55 "B"
7.99 1.9 6 66.36 9.9 300.28 123.45 0.74 "D"
13.12 9.4 7 72.78 1.3 135.38 395.27 1.25 "D"
14.38 10.1 10 70.81 1.1 218.84 531.72 2.13 "C"
36.84 2.3 9 58.53 2.5 757.33 1312.57 0.33 "B"
14.39 0.8 9 62.02 8.7 809.78 776.77 0.44 "A"
37.52 2.5 9 49.62 10.6 1030.6 1368.67 2.59 "B"
42.85 1.1 10 70.67 6.2 719.75 953.11 3.12 "A"
37.4 3.5 8 58.21 12 169.3 566.28 3.69 "D"
11.04 11.3 7 69.95 5.8 30.46 249.46 2.92 "D"
51.37 7.9 8 41.58 8 1133.13 1702.21 3.2 "A"
33.82 11.1 9 69.91 9 598.71 796.67 0.96 "A"
21.06 3 6 54.37 3.6 580.96 1246.91 2.3 "D"
6.82 3.3 12 77.37 2.1 473.82 426.53 0.64 "C"
45.87 9.3 7 38.81 9.5 1690.81 2296.98 2.95 "D"
40.14 5.7 10 52.69 3.8 1583.6 2411.02 2.09 "D"
11.53 0.8 6 53.02 8.2 566.28 1187.4 0.68 "A"
32.1 4.2 8 55.99 3.7 775.55 1509.05 1.75 "D"
39.21 5.9 9 40.48 2.3 1784.5 2660.39 0.05 "A"
24.23 3 11 76.5 1.6 175.37 419.77 4.57 "A"
11.77 9.2 5 50.42 0.1 261.14 151.6 2.74 "B"
48.07 5.4 4 25.02 8.7 637.68 1898.52 2.41 "D"
22.37 3.8 4 43.58 3.5 464.01 798.35 1.5 "A"
22.41 10.5 5 51.84 1.7 637.52 870.86 3.94 "D"
19.04 4.7 9 65.96 7.1 267.73 498.8 3.01 "C"
0.19 2.6 5 44.72 1.5 334.62 921.52 0.61 "B"
41.97 2.2 10 45.82 3.1 1084.37 1965.47 1 "C"
36.57 7.6 9 50.04 5.5 1058.98 1485.61 3.02 "D"
19.23 6.9 9 53.72 1.5 713.16 1258.3 3.22 "D"
45.02 0.8 7 50.77 6.2 1087.16 1995.81 3.51 "A"
14.64 3.9 4 47 6 462.59 387.89 1.46 "C"
2.48 1.2 6 51.29 1.2 74.4 148.8 2.41 "D"
25.17 2.9 4 41.08 5.1 3.22 797.03 4.7 "C"
6.21 1.7 8 73.28 1.8 423.96 188.48 3.11 "D"
7.9 4.8 6 57.84 8.3 451.48 187.11 2.41 "A"
22.99 10.4 9 63.32 8.8 245.27 197.24 5.78 "A"
12.88 7.5 6 60.67 3.4 160.18 150.43 3.38 "D"
41.3 6.9 12 68.56 12 563.54 1035.01 4.68 "D"
28.56 5.7 7 56.22 2.5 40.31 748.69 1.85 "B"
5.68 2.5 4 45.96 1.8 212.11 185.96 3.19 "B"
15.19 8.6 4 57.3 5.1 595.05 661.59 0.17 "C"
6.78 5.7 10 69.12 10.9 572.35 557.62 1.34 "B"
2.26 12 8 81.56 12.8 142.87 323.04 1.01 "C"
21.22 3.9 8 47.23 4.7 834.21 1483.41 2.14 "D"
35.22 6.9 7 52.41 12 792.48 1608.25 2.58 "C"
24.19 7.1 7 51.13 4.4 1319.19 1986.61 2.38 "D"
17.57 7.1 8 57.28 4.3 0.54 634.73 2.38 "D"
15.89 9.9 8 71.26 7.9 144.55 145.32 2.03 "B"
0.18 7.2 6 73.3 10.1 410.26 442.07 1.39 "B"
46.87 0.4 8 42.44 2.8 1393.3 2101.45 4.34 "D"
24.78 4.9 5 68 3.4 521.54 1040.63 0.68 "B"
41.36 6.8 6 48.69 7.7 1522.15 1789.15 0.79 "C"
5.56 7.8 7 54.84 3.6 732.03 788.89 0.33 "A"
23.27 10.7 6 55.21 7.3 796.52 829.13 2.42 "D"
36.69 3.2 10 71.6 4.5 851.91 1293.66 2.99 "A"
23.67 5.5 4 46.73 12.3 777.18 1237.29 2.02 "A"
32.46 9.6 9 55.56 7.7 1214.59 1928.54 1 "D"
46.37 2 5 53.69 12.2 1385.3 1710.81 4.39 "B"
46.69 9.2 6 50.11 0.2 1061.39 1783.02 5.11 "D"
31.97 6.2 7 51.02 6.8 744.74 1087.84 2.9 "A"
27.66 9.8 9 54.47 6 1034.92 1504.47 1.28 "C"
38.81 11.9 6 47.72 1.5 1419.45 2054.48 1.14 "D"
47.7 8.1 9 60.75 7.4 837.54 1521.17 3.03 "B"
34.84 3.3 7 54.77 2.9 530.63 1284.17 0.53 "A"
25.85 8.2 9 67.3 10.2 52.99 733.01 0.89 "C"
16.33 9.1 8 66.37 6.8 566.27 560.67 1.64 "C"
36.97 8.7 4 32.33 3.1 716.11 1655.8 2.66 "D"
6.97 3.8 6 49.89 1.8 10.37 394.07 0.58 "C"
27.88 2.7 9 72.38 12.2 36.87 232.69 3.94 "C"
24.03 3.6 11 78.6 8.1 790.72 1244.46 4.46 "D"
4.05 0.4 4 38.24 1.7 278.19 807.25 1.76 "B"
21.84 2.9 6 49.01 9.9 452.59 684.87 3.47 "D"
16.2 5.2 7 60.46 5.6 366.21 654.01 3.55 "B"
6.31 9.7 4 47.38 5.8 45.97 172.4 2.31 "A"
29.55 9.7 9 62.34 3.5 967 1417.59 1.1 "D"
36.87 0.2 10 62.94 0.2 1054.28 1344.42 0.98 "A"
44.57 4 6 50.14 2.6 819.54 1154.56 4.22 "A"
8.29 3.3 6 54.05 12.2 1033.66 1442.26 2.37 "B"
50.92 5.7 9 47.9 7.6 1553.14 2374.04 3.24 "A"
20.18 0.1 7 61.23 9.3 73.83 501.44 0.5 "D"
17.03 3.2 5 50.8 5.6 476.59 299.48 2.14 "A"
25.65 6.5 7 53.47 2.9 592.1 763.22 3.33 "C"
36.94 9.6 6 45.63 4.6 1074.3 1288.2 2.95 "D"
49.14 9.8 5 36.31 4.6 964.32 1842.11 1.11 "B"
63.55 3.1 11 69.24 7.4 1405.67 2078.26 4.64 "C"
43.85 4.1 7 48.52 5.6 1017.04 1611.17 3.01 "A"
38.08 6.4 7 71.49 11.3 567.24 376.59 3.42 "B"
17 7.7 7 46.42 8.1 279.74 747.48 0.18 "C"
0.57 2.4 9 77.85 5 206.22 277.06 0.61 "B"
26.27 9.5 12 63.26 0.8 686.89 917.96 1.59 "A"
57.98 8.6 7 45.26 6.1 1459.19 2259.32 5.19 "C"
23.03 8.3 8 71.46 3.3 188.61 646.1 1.15 "D"
14.35 1.1 7 67.01 12.6 229.9 628.62 0.29 "B"
35.23 1.9 6 46.38 5.3 570.97 812.63 2.99 "C"
16.18 0.7 9 60.63 7.2 340.43 1115.65 1.26 "C"
50.62 9.5 8 50.01 5 1177.14 2151.24 2.2 "B"
15.62 6.7 7 64.03 3.3 310.92 253.01 2.65 "A"
26.01 1.3 6 66.78 11.2 460.36 612.43 0.91 "C"
13.94 1.8 11 66.63 8.8 491.77 706.2 3.4 "A"
26.7 5.5 8 49.47 10.6 727.35 1326.64 1.01 "B"
5.98 0.3 9 71.01 8.6 408.04 123.95 0.62 "B"
35.94 8.6 4 31.66 10.7 788.66 1808.39 0.87 "B"
2.27 5.7 13 90.36 9.6 139.13 159.02 1.75 "A"
16.96 9.4 5 53.24 8.9 232.22 455.51 3.93 "D"
